"","userid","version","sum_gamerounds","retention_1","retention_7"
"1",2452110,"gate_30",4,"False","False"
"2",7356535,"gate_30",12,"False","False"
"3",4194651,"gate_30",2,"False","False"
"4",4639403,"gate_30",14,"False","False"
"5",321578,"gate_30",0,"False","False"
"6",3953254,"gate_30",8,"True","False"
"7",1456458,"gate_30",83,"False","False"
"8",2370485,"gate_30",8,"True","False"
"9",2725134,"gate_30",24,"False","True"
"10",1650586,"gate_30",22,"True","False"
"11",3097815,"gate_30",316,"True","True"
"12",9340321,"gate_30",6,"False","False"
"13",6373475,"gate_30",3,"False","False"
"14",4771650,"gate_30",21,"True","False"
"15",5549255,"gate_30",0,"False","False"
"16",7186710,"gate_30",100,"True","False"
"17",9071403,"gate_30",8,"False","False"
"18",4961566,"gate_30",1,"False","False"
"19",4642790,"gate_30",4,"False","False"
"20",9173088,"gate_30",41,"False","True"
"21",4095966,"gate_30",3,"False","False"
"22",3047806,"gate_30",314,"True","True"
"23",8729281,"gate_30",27,"True","False"
"24",9513633,"gate_30",57,"True","False"
"25",6661553,"gate_30",227,"True","False"
"26",5863618,"gate_30",10,"False","True"
"27",1046433,"gate_30",2,"False","False"
"28",125379,"gate_30",91,"True","True"
"29",1734109,"gate_30",6,"False","False"
"30",3407964,"gate_30",106,"True","True"
"31",478074,"gate_30",1,"False","False"
"32",8238586,"gate_30",32,"True","False"
"33",5993532,"gate_30",1,"False","False"
"34",711350,"gate_30",15,"False","False"
"35",5278254,"gate_30",5,"False","False"
"36",1389523,"gate_30",7,"False","False"
"37",8874374,"gate_30",2,"False","False"
"38",2767958,"gate_30",24,"True","False"
"39",838178,"gate_30",2,"False","False"
"40",4946289,"gate_30",227,"True","True"
"41",2890348,"gate_30",34,"False","False"
"42",293909,"gate_30",4,"False","False"
"43",9681242,"gate_30",71,"True","False"
"44",2865438,"gate_30",2,"False","False"
"45",1046523,"gate_30",2,"False","False"
"46",4621054,"gate_30",203,"True","False"
"47",9972358,"gate_30",22,"False","False"
"48",6170898,"gate_30",10,"False","False"
"49",7412435,"gate_30",16,"False","False"
"50",2820664,"gate_30",10,"True","False"
"51",3758180,"gate_30",14,"True","False"
"52",9854306,"gate_30",14,"False","False"
"53",8764071,"gate_30",6,"False","False"
"54",2969805,"gate_30",8,"False","False"
"55",6822592,"gate_30",20,"False","False"
"56",2698653,"gate_30",43,"True","False"
"57",6670523,"gate_30",68,"True","False"
"58",2505555,"gate_30",51,"True","True"
"59",7840519,"gate_30",22,"True","False"
"60",9425620,"gate_30",17,"True","True"
"61",7201309,"gate_30",60,"True","False"
"62",8454490,"gate_30",623,"True","True"
"63",639799,"gate_30",5,"False","False"
"64",1532974,"gate_30",7,"False","False"
"65",5759767,"gate_30",2,"False","False"
"66",4253177,"gate_30",9,"True","False"
"67",7960625,"gate_30",35,"True","True"
"68",214481,"gate_30",5,"False","False"
"69",3492013,"gate_30",41,"False","False"
"70",1081829,"gate_30",52,"True","False"
"71",6621914,"gate_30",40,"True","False"
"72",3966856,"gate_30",13,"True","False"
"73",7099704,"gate_30",46,"True","False"
"74",8219741,"gate_30",22,"True","False"
"75",229749,"gate_30",12,"True","False"
"76",2538014,"gate_30",108,"True","True"
